X;Y;TYPE;SPEED;DIRTYPE;DIRECTION
917.165;4.876.720;3;0;0;0
715.084;5.125.611;3;0;0;0
891.207;4.895.313;3;0;0;0
1.010.233;5.358.012;3;0;0;0
1.104.238;5.097.539;3;0;0;0
1.106.556;4.944.750;3;0;0;0
875.199;5.311.980;3;0;0;0
998.640;5.354.778;3;0;0;0
1.156.652;4.814.052;3;0;0;0
805.649;5.226.838;3;0;0;0
945.819;5.358.667;3;0;0;0
921.690;4.867.619;3;0;0;0
1.498.389;5.112.583;3;0;0;0
873.223;5.017.222;3;0;0;0
868.781;4.889.582;3;0;0;0
847.612;4.948.639;3;0;0;0
675.032;5.127.102;3;0;0;0
710.695;5.072.083;3;0;0;0
731.882;5.145.931;3;0;0;0
1.088.856;4.990.192;3;0;0;0
1.342.913;5.467.696;3;0;0;0
920.112;4.885.861;3;0;0;0
1.242.611;5.135.167;3;0;0;0
845.731;4.954.484;3;0;0;0
1.088.997;4.837.023;3;0;0;0
859.819;5.358.534;3;0;0;0
695.132;4.924.431;3;0;0;0
849.139;4.947.778;3;0;0;0
799.149;5.229.584;3;0;0;0
992.009;5.155.530;3;0;0;0
863.333;5.305.222;3;0;0;0
1.089.278;4.836.972;3;0;0;0
1.153.640;4.810.000;3;0;0;0
946.279;5.130.889;3;0;0;0
895.899;4.821.587;3;0;0;0
870.139;4.929.222;3;0;0;0
875.255;5.311.993;3;0;0;0
975.311;5.236.996;3;0;0;0
1.092.000;4.838.028;3;0;0;0
858.833;5.353.583;3;0;0;0
784.427;4.799.017;3;0;0;0
994.150;5.357.261;3;0;0;0
901.466;4.879.843;3;0;0;0
1.063.786;5.385.482;3;0;0;0
973.655;5.237.697;3;0;0;0
835.252;4.901.360;3;0;0;0
919.445;4.888.444;3;0;0;0
1.015.639;4.867.750;3;0;0;0
942.974;4.891.560;3;0;0;0
969.415;5.235.286;3;0;0;0
871.302;5.314.368;3;0;0;0
1.373.651;5.283.844;3;0;0;0
859.166;5.358.164;3;0;0;0
883.644;4.775.726;3;0;0;0
878.501;5.310.222;3;0;0;0
920.612;4.885.611;3;0;0;0
945.816;5.358.639;3;0;0;0
972.295;5.235.841;3;0;0;0
657.056;5.133.639;3;0;0;0
1.236.795;5.131.478;3;0;0;0
708.418;5.123.333;3;0;0;0
979.640;4.810.111;3;0;0;0
1.373.918;5.107.389;3;0;0;0
996.195;5.214.972;3;0;0;0
851.478;5.198.774;3;0;0;0
692.473;5.093.667;3;0;0;0
1.224.444;5.184.083;3;0;0;0
849.167;4.947.722;3;0;0;0
703.583;4.927.861;3;0;0;0
707.668;5.150.778;3;0;0;0
699.750;4.923.833;3;0;0;0
900.333;4.868.333;3;0;0;0
